CustomerID,FirstName,LastName,Phone,City,State,ZIP,CustomerName,emails,OrderID,OrderDate,ShippedDate
OY34,William,Nelson,147.533.8665x809,North Matthew,Hawaii,99322,William Nelson,william.nelson@gmailx.com,5206.0,2020-09-08,2020-10-16
EJ24,Belinda,Holmes,(445)759-6364,Andersonchester,Utah,7899,Belinda Holmes,belinda.holmes@gmailx.com,1802.0,2020-10-12,2020-10-21
BP47,Caitlyn,Hogan,001-820-908-9658x86063,Susanton,Indiana,62773,Caitlyn Hogan,caitlyn.hogan@gmailx.com,,,
UX76,Jason,Johnson,001-686-124-6486,Grimesmouth,Iowa,46257,Jason Johnson,jason.johnson@gmailx.com,,,
QU48,Annamae,Pruett,+1-224-964-9813,West Russell,Arkansas,68882,Annamae Pruett,annamae.pruett@gmailx.com,,,
DG34,Brinda,Kunkle,001-367-924-8942x815,Cookeville,Oklahoma,32572,Brinda Kunkle,brinda.kunkle@gmailx.com,,,
AB85,Norman,Parker,001-181-615-9391,Port Jennifershire,Louisiana,87957,Norman Parker,norman.parker@gmailx.com,,,
HL34,Bobby,Boyd,440-608-2692,Port Bethhaven,Rhode Island,25284,Bobby Boyd,bobby.boyd@gmailx.com,,,
CX50,Rosendo,Mcclintock,(918)039-2182,Johnside,New Jersey,53018,Rosendo Mcclintock,rosendo.mcclintock@gmailx.com,,,
ZA13,Vanessa,Hill,(663)146-2832x68819,South Brittanyfort,Illinois,16466,Vanessa Hill,vanessa.hill@gmailx.com,730.0,2020-10-07,2020-11-06
ZA13,Vanessa,Hill,(663)146-2832x68819,South Brittanyfort,Illinois,16466,Vanessa Hill,vanessa.hill@gmailx.com,9371.0,2020-10-05,2020-11-10
LG91,Ellen,Schmitt,+1-044-138-5691x2260,Lake Tina,Washington,72169,Ellen Schmitt,ellen.schmitt@gmailx.com,,,
TG04,Fritz,Funk,030-029-6201x48818,West Andrew,New Hampshire,43691,Fritz Funk,fritz.funk@gmailx.com,,,
ZZ17,Jane,Rivera,+1-554-911-3247x664,East Daniel,California,25630,Jane Rivera,jane.rivera@gmailx.com,,,
TG73,Alan,Nardella,838-650-9584x1933,Port Sharonmouth,Oregon,40401,Alan Nardella,alan.nardella@gmailx.com,,,
RE25,Annie,Bernier,0562624459,Port Derrick,Delaware,44429,Annie Bernier,annie.bernier@gmailx.com,,,
SP03,Jeremy,Suh,776-927-5506x188,Port Jeffrey,Georgia,77601,Jeremy Suh,jeremy.suh@gmailx.com,,,
KX35,Carole,Lanham,+1-548-070-5772x1249,Port Matthewborough,South Dakota,88322,Carole Lanham,carole.lanham@gmailx.com,,,
RR49,Sally,Danley,+1-685-093-0363x6642,Stronghaven,Kansas,66275,Sally Danley,sally.danley@gmailx.com,,,
ED60,Allen,Robinson,001-750-529-8712x7951,West Allisonburgh,Wisconsin,58677,Allen Robinson,allen.robinson@gmailx.com,1169.0,2020-09-22,2020-10-16
TV97,Joseph,Reed,157.480.7659x11717,East Davidhaven,Missouri,8219,Joseph Reed,joseph.reed@gmailx.com,7936.0,2020-10-07,2020-11-12
XV06,Maryann,Hardison,8144218724,West Tamaramouth,Iowa,83044,Maryann Hardison,maryann.hardison@gmailx.com,3304.0,2020-08-14,2020-10-30
NX88,Hilary,Jones,001-742-025-3699x26831,New Haley,Delaware,62573,Hilary Jones,hilary.jones@gmailx.com,,,
AP81,Joy,Nasers,830-949-7078x3786,Kimberlystad,New Mexico,1803,Joy Nasers,joy.nasers@gmailx.com,,,
WY11,Duane,Wood,085-177-6216,New Jamesfort,Texas,13336,Duane Wood,duane.wood@gmailx.com,,,
YL92,John,Hatton,289-071-4195,New Lynn,Minnesota,85671,John Hatton,john.hatton@gmailx.com,,,
KF05,Richard,Martin,049-896-9831x4746,Luceroville,New Hampshire,22819,Richard Martin,richard.martin@gmailx.com,,,
IB81,Jodie,Rine,001-173-363-5705x7624,Andreachester,Ohio,95812,Jodie Rine,jodie.rine@gmailx.com,,,
DN23,Laura,Dickey,7450428607,East Kylebury,North Dakota,8876,Laura Dickey,laura.dickey@gmailx.com,,,
FB03,Matt,Beltran,(515)545-5516,Lake Michael,New Jersey,39951,Matt Beltran,matt.beltran@gmailx.com,,,
CW21,Linda,Epps,086.395.3087x47771,Jonathantown,Wisconsin,3198,Linda Epps,linda.epps@gmailx.com,,,
YV21,Michael,Reyes,+1-270-119-3073x366,Sanderston,Arizona,32226,Michael Reyes,michael.reyes@gmailx.com,,,
QN03,Bernita,Hall,+1-725-274-3359x727,East Angela,Montana,30614,Bernita Hall,bernita.hall@gmailx.com,,,
LW27,Donna,Deharo,229.626.8663,Port Codyshire,Missouri,1650,Donna Deharo,donna.deharo@gmailx.com,,,
AC84,Wendy,Satterwhite,(673)207-9559x85350,Gregoryview,Nevada,85839,Wendy Satterwhite,wendy.satterwhite@gmailx.com,,,
WR31,Antonia,Metevier,635.105.8601x432,Lanefurt,Kentucky,12711,Antonia Metevier,antonia.metevier@gmailx.com,,,
GK05,Milton,Tsuda,050.447.6766,East Alexandra,California,12950,Milton Tsuda,milton.tsuda@gmailx.com,,,
DN73,Angela,Apodaca,001-757-596-4158,Stevenmouth,Oklahoma,93371,Angela Apodaca,angela.apodaca@gmailx.com,,,
OI31,Robert,Brown,001-125-730-9741x992,East Christineview,Vermont,99661,Robert Brown,robert.brown@gmailx.com,,,
BY61,Joyce,Rodriguez,6732445027,Port Christopher,Hawaii,77299,Joyce Rodriguez,joyce.rodriguez@gmailx.com,,,
HH63,Kevin,Johnson,(532)959-5111x17592,East Robert,Arizona,85115,Kevin Johnson,kevin.johnson@gmailx.com,,,
MJ49,Mary,Waters,431-301-1513,South Jenna,Connecticut,37772,Mary Waters,mary.waters@gmailx.com,,,
AQ84,Andrea,Dahl,667.532.1813x208,Mclaughlintown,Ohio,60163,Andrea Dahl,andrea.dahl@gmailx.com,,,
GR09,Thomas,Drake,+1-696-927-7796,Holmesview,Colorado,53455,Thomas Drake,thomas.drake@gmailx.com,,,
LK31,William,Stafford,140-256-7789,Port Loriville,Oregon,33325,William Stafford,william.stafford@gmailx.com,,,
ED51,John,Davis,+1-013-871-2805x278,Nelsonville,Massachusetts,46646,John Davis,john.davis@gmailx.com,,,
NN05,Joesph,Dresbach,+1-326-157-9836,West Peter,Florida,59551,Joesph Dresbach,joesph.dresbach@gmailx.com,7168.0,2020-08-24,2020-10-21
LJ35,Margaret,Lopez,489.788.1892x62323,Holmesmouth,Vermont,36716,Margaret Lopez,margaret.lopez@gmailx.com,,,
EU79,Robert,Lindhorst,4027620119,Alexisfurt,North Dakota,7983,Robert Lindhorst,robert.lindhorst@gmailx.com,,,
LQ19,Jo,Delgado,042-568-9728,Hinestown,Idaho,59321,Jo Delgado,jo.delgado@gmailx.com,2990.0,2020-09-06,2020-11-11
SA67,Geraldine,Harbin,734.253.1059x97407,West Erinland,Louisiana,62893,Geraldine Harbin,geraldine.harbin@gmailx.com,,,
ZH29,Randi,Mccann,614.414.8909x55912,Francochester,Nebraska,74238,Randi Mccann,randi.mccann@gmailx.com,,,
IM80,John,Boyd,001-373-855-7302,Lake Amberchester,Mississippi,34344,John Boyd,john.boyd@gmailx.com,7515.0,2020-10-13,2020-11-12
RG37,Janel,Cassette,619-293-3384,Williamstown,Minnesota,45015,Janel Cassette,janel.cassette@gmailx.com,,,
QV99,Ronald,Swick,001-280-353-4350,New Vickie,Delaware,56960,Ronald Swick,ronald.swick@gmailx.com,,,
UY71,Marvin,Moore,096.673.1051x6713,Lake Donaldberg,Indiana,3652,Marvin Moore,marvin.moore@gmailx.com,,,
UQ27,Michael,Leclair,+1-209-142-0295x761,Lake Cesar,Vermont,31109,Michael Leclair,michael.leclair@gmailx.com,,,
UM49,Casey,Pawloski,(421)260-8417,Lake Brettfurt,Texas,11395,Casey Pawloski,casey.pawloski@gmailx.com,,,
FY23,Neoma,Clark,+1-077-477-8036x1999,New Joseph,Vermont,57703,Neoma Clark,neoma.clark@gmailx.com,,,
PJ65,Bill,Reyes,6334853862,New Carol,Delaware,32640,Bill Reyes,bill.reyes@gmailx.com,,,
CS77,Denny,Ordonez,845.044.7323,New Erika,Alabama,24136,Denny Ordonez,denny.ordonez@gmailx.com,,,
IC07,Annalisa,Simpson,9617892792,Fisherton,Idaho,24345,Annalisa Simpson,annalisa.simpson@gmailx.com,,,
WZ62,Max,Rodriguez,001-395-504-1039,Griffinbury,Missouri,15440,Max Rodriguez,max.rodriguez@gmailx.com,,,
VS79,Kelly,Ciotti,3711833631,Matthewhaven,Vermont,75711,Kelly Ciotti,kelly.ciotti@gmailx.com,,,
ND55,Aaron,Bruno,(908)863-0636x8380,South Marvin,Illinois,16713,Aaron Bruno,aaron.bruno@gmailx.com,,,
ZU31,Heather,Kaupp,060.348.8837x9560,Port Dustinborough,Pennsylvania,70449,Heather Kaupp,heather.kaupp@gmailx.com,,,
KS28,George,Adkins,+1-026-269-4419x757,Lake Matthewchester,California,82393,George Adkins,george.adkins@gmailx.com,,,
